id,caption
261,"""Two people are walking their dogs on the beach 
262,A male and female inside reading and conversing
263,A multicolor dog in a red collar crouching on the grass .
264,Little boy with dark hair chasing a pigeon flying through the air .
265,People cross the street on a sunny day in the city .
266,Two men are sitting in their seats with a girl between them .
267,A man striping a parking lot .
268,A man wearing a black hat is smiling on a street as other men and woman walk past .
269,Two homeless men dressed in gray sit against a wall with a sleeping dog on a purple leash .
270,maintenance or construction workers on a work site on a busy city street
271,Two young men and two young women wait for a bus on a Japanese street
272,A young man seated on a metal framed structure smiles as he tugs slightly on a nylon tarp .
273,A woman in a gingham sari hold a plate of fire .
274,Two woman are walking by discussing something seriously .
275,A horse jumps a fence in a show jumping competeition .
276,A young boy standing next to a woman is helping her cook .
277,A toddler wears a red holiday jumper while clutching three Pixar toys .
278,Young female basketball player plans her route to the net .
279,A group of runners in a race occupy a street .
280,Child wearing a Green Bay coat carrying a red sled behind a child in a green and black coat .
281,A group of people in red shirts and white pants are walking single file down a dirt path in the middle of a field .
282,A man standing in front of the Eiffel Tower getting his photo taken
283,A man attending to the front wheel of his motorcycle .
284,A man wearing a baseball mitt is in a field leaning to his side .
285,Children playing baseball outside a white pillared palace
286,"""Two kids ride their bikes by the ocean 
287,Two woman wearing body paint ride bikes through a crowd .
288,A man applying bait to his fishing pole .
289,A group of people standing in front of a food stamp buying food .
290,Three firefighters duck from fire and smoke coming from a building .
291,A man parachuting down a snowy mountain .
292,"""A little kid 
293,A man is cleaning while his young daughter watches .
294,"""A man pushing a baby stroller at the beach 
295,"""a woman and a young boy gardening 
296,Two men in a room with yellow empty beds .
297,Two people look at two red motorcycles in a place where there are religious murals on the wall .
298,A curly redheaded girl with a large headband in her hair .
299,Older man works on model airplane while woman stands by .
300,A girl with a yellow EL Dorado Elementary School shirt on showing the size of something using her fingers .
301,Old man dozing in hospital bed .
302,There is a group of people in winter coats are gather in front of a large building .
303,A group of men gather and play instruments .
304,A young lady sitting outside a sporting event looking at her phone .
305,Boys playing tag on the lake .
306,A man is passed out on a park bench .
307,"""Three men are staring at the big 
308,"""A city street has parked cards on one side of it and there are people walking in the street 
309,A girl flies through the air as a man stands with his arms outstretched .
310,A brown dog shakes while standing in the water near a yellow ball .
311,A man at the top of a mountain in a large mountain range .
312,A woman and a man dresses up and smiling with a bouquet of flowers between them .
313,Two law enforcement officers are looking into the trunk of a car which is blocked off with yellow police tape .
314,A boy wearing a blue wetsuit rides on a blue surfboard .
315,A man in a suit and tie walking .
316,A person dressed in red and gray is skiing down a snowy slope .
317,"""A man wearing a black hat 
318,A tan woman with a black scarf and a long floral-print dress in sitting on a stone and smiling with her hands in her lap .
319,Two girls smile at one another as the loud crowd carries on with the festivities .
320,A brown dog plays with a toy bat hanging out its mouth .
321,A young boy jumps into water .
322,People looking at a birthday cake with candles lit trying to blow them out .
323,A group of five men are walking along some snowy railroad tracks .
324,A boy is playing with a screwdriver .
325,A family enjoying a nice summer day at the pool .
326,a woman is looking into a microscope sitting at a desk .
327,A group of men and women in swimwear sit on a beach in yoga poses .
328,"""Two women 
329,A snowboarder is performing a stunt in front of a crowd of spectators .
330,People playing instruments on stage in front of blue banners .
331,Two dogs wrestle outdoors .
332,A crowd of people in the street at night .
333,Some people standing near a small train ride .
334,A cook slicing some herbs on a wood cutting board .
335,A tan and black dog runs over a green field with its mouth open .
336,The guy with a green long-sleeved shirt is inside a recording studio .
337,A dog with a stick follows another dog through the water .
338,Workers standing in a work zone .
339,A man is falling into waves .
340,A woman is standing behind a table
341,Two women walking down the street holding each other with their arms .
342,"""Three men are dress up with some colors of blue 
343,"""A man is driving a piece of heavy machinery 
344,A person skis down a snowy hill .
345,A woman and man are next to each other blowing bubbles .
346,A man in a shirt sitting on playground equipment .
347,Two men compete in a karate tournament .
348,Five people are working on bicycles with a large graffiti mural behind them .
349,A group of people talking among themselves .
350,An older man wearing a polo shirt walking down a street lined with stores and green trees as cars pass by .
351,Many friendly riders in a bus enjoying each others company .
352,"""A man in glasses 
353,In a outdoor market two men shovel snow and slush out of the path .
354,A group of toddlers kneeling on the floor mimicking one of the adults with their hands stretched upwards .
355,A man is smiling whilst sitting inside a red racing car .
356,A woman wearing a green tank top and unusual necklace at a table in a restaurant .
357,A man in a yellow shirt is pushing a cart with items on it .
358,A man walking down the street is passing a brick door .
359,"""A dog runs holding a yellow dog toy in fall 
360,A young girl around 10 years old hitting what appears to be a tennis ball with a golf club from a tee .
361,Two girls at a Smart car display .
362,Two potters are making different things in some sort of art making contest .
363,"""cyclists lean into a turn 
364,A man wears a scar-crow mask from the movie Batman .
365,A shopping court in a city somewhere .
366,"""A man appears to be balancing on a bicycle on top of some sort of mechanism while """" swallowing """" a sword shaped balloon ."""
367,A male baseball player for the baseball team The Indians prepares to catch a ball .
368,"""A woman dressed up in green 
369,Three women with headscarves and bright clothing take a ride in a rickshaw .
370,One person is standing and one person is sitting in a canoe on open water .
371,Man in a green shirt holding his shoes walking on the sand .
372,women wearing a pink shirt selling donuts in a park .
373,Man in white shirt looks at a sign on a window .
374,Two Asian women in high heels walk down a dirt street outdoors .
375,A man in a white t-shirt and jeans is using a wrench .
376,A woman walks up a path that cuts through cultivated plots while balancing straw on her head .
377,A woman with headphones holding a pen and paper while her feet are propped up on fence .
378,A black and brown dog attempts to catch a red ball in its mouth .
379,In a crowded concert a man in white is approaching the main singer who is wearing a yellow shirt .
380,Women in long dresses walk along a beach .
381,"""One red-haired woman is selling fruit cups 
382,A person in a black jacket and light blue pants appears in the air with a custom snowboard .
383,One person is emptying junk into a garbage bag while another person holds the bag open .
384,A girl peers into a window .
385,A group of people are sitting at a table with flags hanging above them .
386,A woman with a shawl on her head is standing in front of a supermarket observing the items out front .
387,A pale tan dog romps through a wooded area
388,A group of children buying ice cream from a truck at night .
389,A man in a white striped shirt is sleeping on a red velvet couch .
390,several troubled people sitting in the back of a truck
391,A little boy is playing on a wet stone surface .
392,A man is on a laptop indoors saying something while a boy is looking at his computer .
393,A group of people sitting in chairs watching something .
394,A little boy playing with some sort of pipe .
395,a football player wearing an orange jersey holding a football
396,A happy little boy bounces down a large balloon slide wearing a red t-shirt and white socks .
397,three boys play football in the grass .
398,A white dog running along side a river
399,A woman in blue and a man in red are about to kiss with foliage nearby .
400,The two boys are having fun playing in the mud .
401,A ferry with a few passengers sailing to port .
402,A young woman assembles a wooden cabinet on the floor .
403,A pretty young woman with brown hair playing a violin
404,"""A older man wearing a pink shirt and sunglasses sits 
405,A man in a white shirt black tie looks out of the elevator shaft of a parking garage .
406,A couple crossing the street .
407,Several people which appear to be friends stopping to take a picture .
408,A child swims underwater in a pool .
409,A young girl in her early twenties is laughing .
410,A man in a brown jacket is looking at art .
411,A black and white dog is performing tricks on a course .
412,A man in a blue surgical outfit is standing behind a bunch of medical machines .
413,The small child in green crocks leans over to look inside a grate .
414,Girls in knee pads and rollerskates stand together .
415,A field with some Scottish marching bands and many spectators sitting on the stadium behind .
416,A woman in an orange shirt is playing with a Hula Hoop .
417,Baby sitting in chair with stuffed SpongeBob doll .
418,A person is sitting in a green kayak in the middle of a pond that is surrounded by trees .
419,A young girl in a pink dress dances as a woman blows bubbles .
420,"""A man in blue jeans rests on his back on a rocky ground 
421,A white dune buggy jumping across a grass and dirt terrain .
422,A small boy runs past a fire in a field .
423,A woman in an orange jersey is holding a football and being pursued by a woman in a blue t-shirt on a field .
424,Man singing and playing the guitar in a suit .
425,A bicycle with a basket is on a sidewalk .
426,Two young children with red dots are their foreheads are both wearing yellow shirts and red shorts and one is riding a red tricycle .
427,A man playing the violin while he reads his musical notes .
428,The man walks through a field carrying bundles of dead birds .
429,A woman is watching as a guy is scooping ice cream from a freezer .
430,Two little children and one is playing with a slinky .
431,A guy standing and talking in front of a group of people .
432,A young child swinging outside wearing a yellow tank top .
433,Person with a blue and black suit is surfing .
434,A man runs shoeless on green lawn
435,"""There are pink artificial tulips in a eatery 
436,A dog stands on his hind legs for a lady in purple .
437,"""Little boy in black jacket 
438,An elderly woman crafts a design on a loom .
439,A male teacher talks to his very young female music students as they hold their instruments and look at their sheet music .
440,A big group of people sitting in the dark .
441,Two German sheperds snarling at each other .
442,A woman holding a saxophone looks away from a building on a bright day .
443,Four men and a woman are singing a song at an event .
444,A man cooks outside on a grill .
445,a blond-haired girl in an Obama t-shirt is smiling at the camera .
446,Girls playing tug-of-war in mud and water .
447,An intersection with a single person in the center of the intersection .
448,A young girl stands on some rocks staring at the ocean .
449,Some laborers in smocks sort some rubbish while diverting their eyes .
450,A man is skateboarding near a body of water .
451,three men playing old drums .
452,Some dogs running through the park .
453,"""Two people are eating something strange 
454,"""In a large crowd 
455,Men and women with matching suits and dresses standing behind a young man singing .
456,A group of three young adults stopped to pose for a picture outside a clothing shop .
457,People looking at a painting of Cher .
458,Man wearing blue shorts lathered up in public .
459,A brown squirrel sitting on a branch with an acorn during the fall .
460,a little girl is fishing wearing sunglasses
461,A man is taking in the busy city during a night walk .
462,jealous girl holding small microphone .
463,man in purple shirt surrounded by others .
464,A man wearing a white tank top is riding a red bike along a jump .
465,A couple holds a sign that reads Teaching children for peace .
466,A woman and child look at a window box filled with herbs .
467,Two people dressed in red and white wait at the horse track with a horse .
468,A brown dog leaps through the snow in a field .
469,The man holds a light Sabre .
470,Man on a pier looks at two dogs standing in shallow water .
471,Several people sit on a bench watching traffic .
472,Children sitting on a bench eating something out of a small cup .
473,A man and a woman in pink shirts snack with children .
474,"""A man sites on a motorbike 
475,A man standing on a pole .
476,"""A woman wearing a red helmet with a white star on it 
477,A boy and his bike leaps into the air .
478,Two women in their karate uniforms kick at one another .
479,Several young people in life jackets are sitting on something floating in water .
480,A group of women are sitting around tables .
481,A mountain biker with number 060 on the bike covered in mud from riding downhill on a muddy track .
482,A woman in red runs past a rainbow wall .
483,People are walking on a crowded street .
484,A group of cyclists at a race with their arms around each other .
485,two women are playing badminton
486,A woman in a red vest helps a child with a bathroom sink .
487,3 young blond kids in life preservers jump on hay bales .
488,"""An old man smiling at the camera in front of a rocky 
489,There is a boy wearing jeans and a baseball cap jumping in the air .
490,A motorcycle parked in a parking space next to a road by a hill .
491,A group of people sitting on a dock in a yoga pose .
492,A woman in a purple sweater is holding three bags on a street .
493,Individuals in a terminal review transit information while one girl talks on her cellphone .
494,Two football teams one team in white and green another team in yellow and black it looks as if a member of the yellow and black team has scored a touchdown .
495,A young child wearing a pink coat is sitting and holding a shoe .
496,Man walking by a corner market with graffiti .
497,A man and two small children jumping up and down .
498,Two babies sleeping in their highchairs .
499,A woman in a plaid shirt is looking at a microscope at her desk .
500,A man raises his hands from within a crowd of people .
501,"""A baseball player wearing red 
502,The three chefs dressed in white are preparing food in a kitchen
503,two dogs run across dry ground .
504,People jumping in sacks in a grassy area with trees .
505,a woman wear a fancy dress and tiara on a beach
506,A woman in a knitted cap is waiting for the subway .
507,A woman wearing a red coat and striped pants is leaning towards a man wearing a black hat and smoking a cigarette .
508,Girl posing with lab instruments in a laboratory .
509,"""Two girls are sitting in their home and one of them is sitting on a chair 
510,An African American boy peddles a bicycle in front of an elaborate gold gate .
511,A Girl with long brown hair standing outside .
512,An asian man in a camouflage jacket and another in a black jacket are filleting a fish on top of a bowl in a stainless steel tub .
513,A white birds lands swiftly in the water .
514,A group of people walk in front of a mountain .
515,Children on a red and yellow swing set .
516,a man sitting on a sidewalk playing a guitar .
517,Two young men playing electric guitars in a grunge-type setting .
518,People walk across a crosswalk .
519,Two rows of dance students are practicing ballet moves against a pole in a studio .
520,The man with a white beard rides a bike near a bus .
521,A cyclist wearing a red and black jersey is competing in a race .
522,Cheerleaders practice a routine while a few people look on .
523,3 police are on skates in the city center .
524,Two construction workmen wearing hard hats work on a window .
525,A woman sitting outside at a table with food and refreshments .
526,Little boy is at a trampoline place .
527,A skateboarder wearing blue flannel is skating on a rock at a skate park .
528,A mean looking dog is in the snow and showing his teeth .
529,Two men wave from atop a piece of heavy machinery .
530,A group of firemen battling a fire .
531,A masked person in a fight stance .
532,An elderly women dressed in pink and blue knits .
533,Little dark hair child in a green top leaning against a countertop .
534,A group of construction workers pose for a picture at their work site .
535,Two little girls with long hair hang upside down from tire swings held in place by chains .
536,"""A woman in a dress covered with stars and a fancy 
537,A man and woman boxing in a park .
538,A group of people are sitting below a concrete structure that overlooks a staircase .
539,A baby laying on it 's back crying .
540,A man holding a cellphone and a woman holding a shopping bag stand in front of a wall covered in street art .
541,A bicyclist is drinking out of a bottle of water while riding .
542,A group of kids hiking on a trail .
543,A black man in a blue shirt hold his baby in a blue wrap .
544,A child in a gray coat kicking a soccer ball .
545,A bartender stands in front of a large wine collection .
546,A person stands in a snowy area looking down .
547,A woman is camping in the snow with pink flamingos around her tent .
548,A man is standing outside a store looking in the window .
549,A woman wearing a blue vest seems to be in a very messy area .
550,"""An old woman with a purple shirt 
551,Lots of people near a carnival .
552,A blond man in a white shirt is smoking .
553,Children are running on a grass field .
554,"""The man is digging to find something important 
555,Two people are walking past an industrial building .
556,A band playing s song in front of a crowd .
557,A girl stands on a gravel road as the sun sets .
558,Woman in white dress holds dove while sitting in flowered tree .
559,Clay pots are being molded by hand .
560,People are walking by a bus in a city at dusk .
561,The two woman smile for a tourist on vacation .
562,A crowd is watching a lady give a demonstration of KitchenAid products with the help of an overhead mirror .
563,Two females are wearing bikini tops and very short shorts while walking down the street .
564,A sculptor in a teal sweater works on stone with a chisel and mallet .
565,in the background there seems to be a lot of people around
566,Young girl in pink dress plays with boy and a ball
567,A woman wearing orange is putting a bowl into a dishwasher next to another woman that is reaching for dish soap .
568,A dog bites someone 's finger .
569,A large group of people are dancing at a party .
570,Woman with sunglasses on her phone .
571,A young boy in swim attire steps into the waves .
572,A man wearing a hard hat is feeding brush into an industrial wood chipper .
573,This is a clown at an elementary school .
574,A woman is handing another woman a baby doll from a house .
575,A boy wearing blue shorts is doing a back flip in the air under a tree .
576,Two girls attempt to cross the street in a crowded Asian city .
577,A woman has just hit a volleyball on a beach .
578,A blond-haired girl is standing in playing position in front of a bowling lane .
579,A cowgirl is lassoing a young white calf from the back of her brown horse .
580,The man in the blue helmet is on a bike .
581,A group of workers building something .
582,"""Women on rollerblades and wearing protective gear 
583,"""A group of children are standing in a classroom 
584,"""A young dark-haired woman wearing a polka-dot top 
585,A man on his bicycle crosses a city street .
586,An offensive player running with a football while a football player tries to stop him during a football game .
587,A man is giving some kind of magic presentation to a family .
588,A skateboarder performs while others watch nearby .
589,"""Two gray-haired individuals stand immediately behind a cluster of sheltered 
590,A man is holding up a small poster with two people in it .
591,A blond holding hands with a guy in the sand .
592,An adult and a child playing in the water at the beach .
593,A man is working outside using an electric saw and cutting wood .
594,A guy with white pants and a black hat is juggling .
595,A woman walking into the sun along a brick wall .
596,"""Two men working at a construction site in Charlotte 
597,A young man in a white shirt is showing off skateboard tricks .
598,Two men are walking by a shop with an african outfit displayed in the window .
599,A silhouette of a person snowboarding through a pile of snow .
600,Two children with wakeboards are standing in deep water .
601,A woman is on a carnival swing ride .
602,Several people sitting on a bench watching their leashed dogs outside .
603,Two men examine a bike wheel while a woman looks on from the porch .
604,A baby smiling and playing .
605,Three men are sitting around a bonfire at night with a table of drinks beside them .
606,A dark dog jumps across the snow near the woods .
607,Guy jumping off a pier into lake .
608,a dog chained to a chair with a shirt and hat on .
609,Group of people gathered in meeting like setting with food sitting in front of them .
610,Two men working on a roof in yellow coats .
611,A man jumps and poses for photographers lying on the ground .
612,A crowd of people at an outdoor event .
613,A man in New York City walking down the sidewalk .
614,A group of buildings surrounding a street with people walking down it .
615,A woman wearing a blue skirt is on a walkway looking at a body of water .
616,A girl dressed in black and white with mime makeup stands in the middle of a street with a white umbrella and black top hat in her hand .
617,A blond woman with a tattoo on her arm stands near a wall .
618,"""A child 
619,A doberman biting a blue ball on a grassy surface .
620,A couple sitting on rocks looking out at the ocean .
621,A man in a leather jacket is walking past advertisements .
622,a man with long hair on stage playing an keyboard with a mic in front of him .
623,A boy in an orange short plays in bubbles .
624,"""Women in headwraps are gathered together 
625,A Santa Cruz Fire Dept . engine outside a Gap store .
626,A black dog is walking on the grass with a stick in its mouth .
627,A woman standing behind a podium is speaking to people .
628,"""An Asian man in a jacket 
629,"""Pedestrians wearing black coats and jackets 
630,a social event taking place in the grass .
631,A couple of people sitting in front of a store window talking .
632,Two men having a drink at a bar .
633,A soccer player wearing a gray shirt and black pants throwing a soccer ball .
634,A group of people watch a man in a white shirt speak .
635,A gray-haired man and a blond younger woman listen to someone speak to them at an outside cafe .
636,A little girl eating two cookies .
637,"""A group of dancers with green shirts are all holding hands in a circle 
